Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,Marketing_Airline_Network,Operated_or_Branded_Code_Share_Partners,DOT_ID_Marketing_Airline,IATA_Code_Marketing_Airline,Flight_Number_Marketing_Airline,Originally_Scheduled_Code_Share_Airline,DOT_ID_Originally_Scheduled_Code_Share_Airline,IATA_Code_Originally_Scheduled_Code_Share_Airline,Flight_Num_Originally_Scheduled_Code_Share_Airline,Operating_Airline ,DOT_ID_Operating_Airline,IATA_Code_Operating_Airline,Tail_Number,Flight_Number_Operating_Airline,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCityName,OriginState,OriginStateFips,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,Dest,DestCityName,DestState,DestStateFips,DestStateName,DestWac,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,DepartureDelayGroups,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,ArrivalDelayGroups,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,DistanceGroup,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,FirstDepTime,TotalAddGTime,LongestAddGTime,DivAirportLandings,DivReachedDest,DivActualElapsedTime,DivArrDelay,DivDistance,Div1Airport,Div1AirportID,Div1AirportSeqID,Div1WheelsOn,Div1TotalGTime,Div1LongestGTime,Div1WheelsOff,Div1TailNum,Div2Airport,Div2AirportID,Div2AirportSeqID,Div2WheelsOn,Div2TotalGTime,Div2LongestGTime,Div2WheelsOff,Div2TailNum,Div3Airport,Div3AirportID,Div3AirportSeqID,Div3WheelsOn,Div3TotalGTime,Div3LongestGTime,Div3WheelsOff,Div3TailNum,Div4Airport,Div4AirportID,Div4AirportSeqID,Div4WheelsOn,Div4TotalGTime,Div4LongestGTime,Div4WheelsOff,Div4TailNum,Div5Airport,Div5AirportID,Div5AirportSeqID,Div5WheelsOn,Div5TotalGTime,Div5LongestGTime,Div5WheelsOff,Div5TailNum,Duplicate
2026,1,1,8,4,1/8/2026,UA,UA_CODESHARE,19977,UA,4461,,,,,G7,20500,G7,N501GJ,4461,13930,1393008,30977,ORD,"Chicago, IL",IL,17,Illinois,41,10135,1013507,30135,ABE,"Allentown/Bethlehem/Easton, PA",PA,42,Pennsylvania,23,1322,1404,42,42,1,2,1300-1359,30,1434,1658,3,1622,1701,39,39,1,2,1600-1659,0,,0,120,117,84,1,654,3,32,0,0,0,7,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2026,1,1,8,4,1/8/2026,UA,UA_CODESHARE,19977,UA,4460,,,,,G7,20500,G7,N551GJ,4460,11618,1161803,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,10792,1079206,30792,BUF,"Buffalo, NY",NY,36,New York,22,2100,2053,-7,0,0,-1,2100-2159,30,2123,2212,2,2231,2214,-17,0,0,-2,2200-2259,0,,0,91,81,49,1,282,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2026,1,1,8,4,1/8/2026,UA,UA_CODESHARE,19977,UA,4459,,,,,G7,20500,G7,N551GJ,4459,11618,1161803,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,10792,1079206,30792,BUF,"Buffalo, NY",NY,36,New York,22,1605,1556,-9,0,0,-1,1600-1659,23,1619,1708,4,1740,1712,-28,0,0,-2,1700-1759,0,,0,95,76,49,1,282,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2026,1,1,8,4,1/8/2026,UA,UA_CODESHARE,19977,UA,4458,,,,,G7,20500,G7,N545GJ,4458,12264,1226403,30852,IAD,"Washington, DC",VA,51,Virginia,38,14524,1452402,34524,RIC,"Richmond, VA",VA,51,Virginia,38,1245,1239,-6,0,0,-1,1200-1259,18,1257,1321,5,1349,1326,-23,0,0,-2,1300-1359,0,,0,64,47,24,1,100,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2026,1,1,8,4,1/8/2026,UA,UA_CODESHARE,19977,UA,4457,,,,,G7,20500,G7,N526GJ,4457,11618,1161803,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,11278,1127805,30852,DCA,"Washington, DC",VA,51,Virginia,38,2020,2011,-9,0,0,-1,2000-2059,85,2136,2216,4,2152,2220,28,28,1,1,2100-2159,0,,0,92,129,40,1,199,1,0,0,28,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2026,1,1,8,4,1/8/2026,UA,UA_CODESHARE,19977,UA,4456,,,,,G7,20500,G7,N513GJ,4456,13930,1393008,30977,ORD,"Chicago, IL",IL,17,Illinois,41,10408,1040805,30408,ATW,"Appleton, WI",WI,55,Wisconsin,45,2015,2150,95,95,1,6,2000-2059,40,2230,2257,2,2131,2259,88,88,1,5,2100-2159,0,,0,76,69,27,1,160,1,88,0,0,0,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2026,1,1,8,4,1/8/2026,UA,UA_CODESHARE,19977,UA,4454,,,,,G7,20500,G7,N563GJ,4454,15016,1501606,31123,STL,"St. Louis, MO",MO,29,Missouri,64,12264,1226403,30852,IAD,"Washington, DC",VA,51,Virginia,38,1244,1238,-6,0,0,-1,1200-1259,14,1252,1520,8,1555,1528,-27,0,0,-2,1500-1559,0,,0,131,110,88,1,696,3,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2026,1,1,8,4,1/8/2026,UA,UA_CODESHARE,19977,UA,4453,,,,,G7,20500,G7,N522GJ,4453,11267,1126703,31267,DAY,"Dayton, OH",OH,39,Ohio,44,13930,1393008,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1024,1818,474,474,1,12,1000-1059,26,1844,1904,20,1100,1924,504,504,1,12,1100-1159,0,,0,96,126,80,1,240,1,1,0,30,0,473,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2026,1,1,8,4,1/8/2026,UA,UA_CODESHARE,19977,UA,4452,,,,,G7,20500,G7,N548GJ,4452,10408,1040805,30408,ATW,"Appleton, WI",WI,55,Wisconsin,45,13930,1393008,30977,ORD,"Chicago, IL",IL,17,Illinois,41,1539,1602,23,23,1,1,1500-1559,65,1707,1800,45,1710,1845,95,95,1,6,1700-1759,0,,0,91,163,53,1,160,1,0,0,72,0,23,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
2026,1,1,8,4,1/8/2026,UA,UA_CODESHARE,19977,UA,4450,,,,,G7,20500,G7,N561GJ,4450,12323,1232306,32323,ILM,"Wilmington, NC",NC,37,North Carolina,36,11618,1161803,31703,EWR,"Newark, NJ",NJ,34,New Jersey,21,1626,1616,-10,0,0,-1,1600-1659,18,1634,1749,5,1820,1754,-26,0,0,-2,1800-1859,0,,0,114,98,75,1,488,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N
